time_sec,subject_id,trial_num,condition,raw_bpm,smoothed_bpm,heart_interval_sec,heart_scale,stimulus_bpm,stimulus_interval_sec,send_sound_to_sc,run_seconds,smoothing_alpha
0.2391958236694336,self,trial03,heart_0.75x,72,72.0,0.8333333333333334,0.75,54.0,1.1111111111111112,True,150,0.15
1.2744386196136475,self,trial03,heart_0.75x,72,72.0,0.8333333333333334,0.75,54.0,1.1111111111111112,True,150,0.15
2.2343292236328125,self,trial03,heart_0.75x,72,72.0,0.8333333333333334,0.75,54.0,1.1111111111111112,True,150,0.15
3.314295768737793,self,trial03,heart_0.75x,72,72.0,0.8333333333333334,0.75,54.0,1.1111111111111112,True,150,0.15
4.272905111312866,self,trial03,heart_0.75x,72,72.0,0.8333333333333334,0.75,54.0,1.1111111111111112,True,150,0.15
5.234592437744141,self,trial03,heart_0.75x,72,72.0,0.8333333333333334,0.75,54.0,1.1111111111111112,True,150,0.15
6.31463360786438,self,trial03,heart_0.75x,71,71.85,0.8350730688935283,0.75,53.887499999999996,1.1134307585247043,True,150,0.15
7.273601055145264,self,trial03,heart_0.75x,71,71.7225,0.8365575656174841,0.75,53.791875,1.1154100874899788,True,150,0.15
8.354792833328247,self,trial03,heart_0.75x,71,71.614125,0.8378235438888627,0.75,53.71059375,1.1170980585184835,True,150,0.15
9.314499378204346,self,trial03,heart_0.75x,70,71.37200625,0.8406657337028409,0.75,53.5290046875,1.1208876449371212,True,150,0.15
10.279867172241211,self,trial03,heart_0.75x,69,71.01620531249999,0.8448775844326765,0.75,53.26215398437499,1.1265034459102354,True,150,0.15
11.355319261550903,self,trial03,heart_0.75x,69,70.71377451562499,0.8484909822872252,0.75,53.03533088671874,1.1313213097163004,True,150,0.15
12.313653230667114,self,trial03,heart_0.75x,69,70.45670833828123,0.8515867603681424,0.75,52.84253125371092,1.13544901382419,True,150,0.15
13.276326179504395,self,trial03,heart_0.75x,69,70.23820208753904,0.8542359886322404,0.75,52.67865156565428,1.1389813181763204,True,150,0.15
14.35404634475708,self,trial03,heart_0.75x,69,70.05247177440818,0.8565008268833052,0.75,52.539353830806135,1.1420011025110735,True,150,0.15
15.313439846038818,self,trial03,heart_0.75x,72,70.34460100824695,0.8529439237698684,0.75,52.75845075618521,1.1372585650264913,True,150,0.15
16.27530336380005,self,trial03,heart_0.75x,72,70.59291085700991,0.8499437021591804,0.75,52.944683142757434,1.1332582695455737,True,150,0.15
17.353758096694946,self,trial03,heart_0.75x,73,70.95397422845842,0.8456185950460127,0.75,53.21548067134381,1.1274914600613504,True,150,0.15
18.314016103744507,self,trial03,heart_0.75x,71,70.96087809418965,0.8455363238369067,0.75,53.22065857064224,1.1273817651158755,True,150,0.15
19.274439096450806,self,trial03,heart_0.75x,71,70.96674638006121,0.8454664058948259,0.75,53.22505978504591,1.1272885411931013,True,150,0.15
20.35755705833435,self,trial03,heart_0.75x,71,70.97173442305203,0.8454069847349208,0.75,53.22880081728902,1.1272093129798944,True,150,0.15
21.315229654312134,self,trial03,heart_0.75x,71,70.97597425959422,0.8453564833157533,0.75,53.231980694695665,1.1271419777543379,True,150,0.15
22.27551293373108,self,trial03,heart_0.75x,71,70.97957812065509,0.8453135618530814,0.75,53.234683590491315,1.1270847491374418,True,150,0.15
23.35365319252014,self,trial03,heart_0.75x,71,70.98264140255682,0.8452770820365495,0.75,53.23698105191762,1.127036109382066,True,150,0.15
24.313730716705322,self,trial03,heart_0.75x,71,70.9852451921733,0.8452460766679931,0.75,53.23893389412997,1.1269947688906574,True,150,0.15
25.27680802345276,self,trial03,heart_0.75x,71,70.9874584133473,0.8452197238930673,0.75,53.24059381001047,1.126959631857423,True,150,0.15
26.35554575920105,self,trial03,heart_0.75x,71,70.9893396513452,0.8451973253263392,0.75,53.2420047385089,1.1269297671017855,True,150,0.15
27.556037425994873,self,trial03,heart_0.75x,70,70.84093870364342,0.8469678846437159,0.75,53.13070402773256,1.1292905128582877,True,150,0.15
28.275156497955322,self,trial03,heart_0.75x,69,70.5647978980969,0.8502823190487473,0.75,52.92359842357267,1.1337097587316631,True,150,0.15
29.355931997299194,self,trial03,heart_0.75x,69,70.33007821338236,0.8531200522479049,0.75,52.74755866003677,1.1374934029972066,True,150,0.15
30.314269542694092,self,trial03,heart_0.75x,69,70.13056648137501,0.8555470604381122,0.75,52.59792486103126,1.140729413917483,True,150,0.15
31.275038480758667,self,trial03,heart_0.75x,69,69.96098150916876,0.8576209010466309,0.75,52.47073613187657,1.1434945347288412,True,150,0.15
32.35504198074341,self,trial03,heart_0.75x,69,69.81683428279344,0.8593915868051206,0.75,52.36262571209508,1.1458554490734942,True,150,0.15
33.313812017440796,self,trial03,heart_0.75x,69,69.69430914037441,0.8609024286208409,0.75,52.270731855280815,1.1478699048277876,True,150,0.15
34.275259494781494,self,trial03,heart_0.75x,70,69.74016276931826,0.860336391792831,0.75,52.305122076988695,1.147115189057108,True,150,0.15
35.358174085617065,self,trial03,heart_0.75x,70,69.77913835392053,0.8598558453914888,0.75,52.3343537654404,1.1464744605219852,True,150,0.15
36.31616425514221,self,trial03,heart_0.75x,70,69.81226760083246,0.8594478028283463,0.75,52.35920070062434,1.1459304037711284,True,150,0.15
37.27688550949097,self,trial03,heart_0.75x,70,69.84042746070759,0.8591012710189404,0.75,52.38032059553069,1.1454683613585872,True,150,0.15
38.35710644721985,self,trial03,heart_0.75x,70,69.86436334160145,0.8588069386194834,0.75,52.39827250620108,1.1450759181593113,True,150,0.15
39.31449604034424,self,trial03,heart_0.75x,69,69.73470884036122,0.8604036784229471,0.75,52.30103163027091,1.1472049045639294,True,150,0.15
40.275784969329834,self,trial03,heart_0.75x,69,69.62450251430704,0.8617655829953067,0.75,52.21837688573028,1.1490207773270755,True,150,0.15
41.35578012466431,self,trial03,heart_0.75x,69,69.53082713716098,0.8629265963087156,0.75,52.148120352870734,1.1505687950782875,True,150,0.15
42.316025733947754,self,trial03,heart_0.75x,69,69.45120306658683,0.8639159201097579,0.75,52.08840229994012,1.1518878934796772,True,150,0.15
43.27478528022766,self,trial03,heart_0.75x,69,69.3835226065988,0.8647586306650511,0.75,52.0376419549491,1.1530115075534015,True,150,0.15
44.35533356666565,self,trial03,heart_0.75x,69,69.32599421560897,0.8654762283451076,0.75,51.99449566170673,1.1539683044601434,True,150,0.15
45.31577706336975,self,trial03,heart_0.75x,69,69.27709508326762,0.8660871234263356,0.75,51.95782131245072,1.1547828312351143,True,150,0.15
46.27495837211609,self,trial03,heart_0.75x,70,69.38553082077749,0.8647336020960873,0.75,52.03914811558312,1.1529781361281164,True,150,0.15
47.35567498207092,self,trial03,heart_0.75x,70,69.47770119766086,0.8635864308363163,0.75,52.10827589824565,1.1514485744484215,True,150,0.15
48.3161780834198,self,trial03,heart_0.75x,70,69.55604601801173,0.8626137256919814,0.75,52.167034513508796,1.1501516342559752,True,150,0.15
49.274731159210205,self,trial03,heart_0.75x,70,69.62263911530997,0.8617886475206317,0.75,52.216979336482474,1.1490515300275088,True,150,0.15
50.35473299026489,self,trial03,heart_0.75x,71,69.82924324801347,0.8592388691210241,0.75,52.3719324360101,1.1456518254946988,True,150,0.15
51.314889907836914,self,trial03,heart_0.75x,71,70.00485676081145,0.8570833907282253,0.75,52.50364257060859,1.1427778543043003,True,150,0.15
52.275691747665405,self,trial03,heart_0.75x,71,70.15412824668974,0.8552597188438605,0.75,52.6155961850173,1.1403462917918141,True,150,0.15
53.3571617603302,self,trial03,heart_0.75x,71,70.28100900968627,0.8537156885685958,0.75,52.710756757264704,1.1382875847581277,True,150,0.15
54.31436729431152,self,trial03,heart_0.75x,71,70.38885765823333,0.8524076394494782,0.75,52.791643243675,1.136543519265971,True,150,0.15
55.275790214538574,self,trial03,heart_0.75x,71,70.48052900949834,0.8512989451585142,0.75,52.86039675712375,1.1350652602113525,True,150,0.15
56.355921506881714,self,trial03,heart_0.75x,71,70.55844965807358,0.8503588201095708,0.75,52.91883724355519,1.1338117601460944,True,150,0.15
57.31656336784363,self,trial03,heart_0.75x,71,70.62468220936255,0.8495613448869571,0.75,52.96851165702191,1.1327484598492763,True,150,0.15
58.27546834945679,self,trial03,heart_0.75x,71,70.68097987795817,0.8488846660530095,0.75,53.01073490846862,1.1318462214040128,True,150,0.15
59.356244802474976,self,trial03,heart_0.75x,71,70.72883289626444,0.8483103360124711,0.75,53.04662467219833,1.131080448016628,True,150,0.15
60.5552818775177,self,trial03,heart_0.75x,71,70.76950796182477,0.8478227661603331,0.75,53.077130971368575,1.1304303548804444,True,150,0.15
61.27469825744629,self,trial03,heart_0.75x,71,70.80408176755105,0.8474087722368786,0.75,53.10306132566329,1.1298783629825049,True,150,0.15
62.35579061508179,self,trial03,heart_0.75x,71,70.8334695024184,0.847057195157601,0.75,53.1251021268138,1.129409593543468,True,150,0.15
63.31466341018677,self,trial03,heart_0.75x,71,70.85844907705564,0.8467585839305131,0.75,53.14383680779173,1.129011445240684,True,150,0.15
64.27700638771057,self,trial03,heart_0.75x,71,70.8796817154973,0.8465049298730338,0.75,53.159761286622974,1.1286732398307118,True,150,0.15
65.3561692237854,self,trial03,heart_0.75x,71,70.8977294581727,0.8462894433791142,0.75,53.17329709362953,1.1283859245054855,True,150,0.15
66.31550312042236,self,trial03,heart_0.75x,71,70.9130700394468,0.8461063660989973,0.75,53.1848025295851,1.1281418214653296,True,150,0.15
67.2777407169342,self,trial03,heart_0.75x,71,70.92610953352977,0.8459508126783052,0.75,53.194582150147326,1.127934416904407,True,150,0.15
68.35559010505676,self,trial03,heart_0.75x,71,70.9371931035003,0.8458186372338911,0.75,53.20289482762523,1.1277581829785213,True,150,0.15
69.31557536125183,self,trial03,heart_0.75x,71,70.94661413797526,0.8457063205766726,0.75,53.20996060348145,1.1276084274355633,True,150,0.15
70.27663588523865,self,trial03,heart_0.75x,71,70.95462201727896,0.8456108748685705,0.75,53.21596651295923,1.1274811664914273,True,150,0.15
71.35438537597656,self,trial03,heart_0.75x,71,70.96142871468712,0.8455297629539075,0.75,53.22107153601534,1.1273730172718766,True,150,0.15
72.31450510025024,self,trial03,heart_0.75x,71,70.96721440748405,0.8454608300600358,0.75,53.22541080561304,1.1272811067467146,True,150,0.15
73.2768919467926,self,trial03,heart_0.75x,71,70.97213224636144,0.8454022459368346,0.75,53.22909918477108,1.127202994582446,True,150,0.15
74.35683417320251,self,trial03,heart_0.75x,71,70.97631240940723,0.8453524558152105,0.75,53.23223430705542,1.127136607753614,True,150,0.15
75.3161871433258,self,trial03,heart_0.75x,71,70.97986554799614,0.8453101388227958,0.75,53.2348991609971,1.127080185097061,True,150,0.15
76.2756576538086,self,trial03,heart_0.75x,74,71.43288571579671,0.8399492670465021,0.75,53.574664286847536,1.1199323560620027,True,150,0.15
77.35628318786621,self,trial03,heart_0.75x,71,71.3679528584272,0.840713479886724,0.75,53.5259646438204,1.120951306515632,True,150,0.15
78.31608653068542,self,trial03,heart_0.75x,71,71.31275992966312,0.8413641550148799,0.75,53.48456994724734,1.1218188733531733,True,150,0.15
79.27556610107422,self,trial03,heart_0.75x,71,71.26584594021365,0.8419180212964175,0.75,53.44938445516024,1.1225573617285565,True,150,0.15
80.3555076122284,self,trial03,heart_0.75x,71,71.2259690491816,0.8423893813023441,0.75,53.4194767868862,1.1231858417364589,True,150,0.15
81.31726336479187,self,trial03,heart_0.75x,70,71.04207369180436,0.8445699411913674,0.75,53.28155526885327,1.1260932549218232,True,150,0.15
82.27618551254272,self,trial03,heart_0.75x,72,71.18576263803371,0.8428651710186598,0.75,53.38932197852528,1.1238202280248797,True,150,0.15
