time_sec,subject_id,trial_num,condition,raw_bpm,smoothed_bpm,heart_interval_sec,heart_scale,stimulus_bpm,stimulus_interval_sec,send_sound_to_sc,run_seconds,smoothing_alpha
0.5306909084320068,subject01,trial01,heart_1.00x,74,74.0,0.8108108108108109,1.0,74.0,0.8108108108108109,True,60,0.15
1.4918193817138672,subject01,trial01,heart_1.00x,74,74.0,0.8108108108108109,1.0,74.0,0.8108108108108109,True,60,0.15
2.5746707916259766,subject01,trial01,heart_1.00x,74,74.0,0.8108108108108109,1.0,74.0,0.8108108108108109,True,60,0.15
3.5302696228027344,subject01,trial01,heart_1.00x,74,74.0,0.8108108108108109,1.0,74.0,0.8108108108108109,True,60,0.15
4.491345643997192,subject01,trial01,heart_1.00x,74,74.0,0.8108108108108109,1.0,74.0,0.8108108108108109,True,60,0.15
5.570309400558472,subject01,trial01,heart_1.00x,75,74.15,0.8091706001348618,1.0,74.15,0.8091706001348618,True,60,0.15
6.53070592880249,subject01,trial01,heart_1.00x,76,74.42750000000001,0.8061536394477846,1.0,74.42750000000001,0.8061536394477846,True,60,0.15
7.49080753326416,subject01,trial01,heart_1.00x,77,74.81337500000001,0.8019956324654515,1.0,74.81337500000001,0.8019956324654515,True,60,0.15
8.572403907775879,subject01,trial01,heart_1.00x,77,75.14136875000001,0.7984949036478656,1.0,75.14136875000001,0.7984949036478656,True,60,0.15
9.530790328979492,subject01,trial01,heart_1.00x,77,75.42016343750001,0.7955432243225175,1.0,75.42016343750001,0.7955432243225175,True,60,0.15
10.610581159591675,subject01,trial01,heart_1.00x,77,75.657138921875,0.793051400766782,1.0,75.657138921875,0.793051400766782,True,60,0.15
11.811121940612793,subject01,trial01,heart_1.00x,76,75.70856808359376,0.792512677478603,1.0,75.70856808359376,0.792512677478603,True,60,0.15
12.529150485992432,subject01,trial01,heart_1.00x,76,75.7522828710547,0.7920553378190834,1.0,75.7522828710547,0.7920553378190834,True,60,0.15
13.61085820198059,subject01,trial01,heart_1.00x,76,75.7894404403965,0.7916670139184643,1.0,75.7894404403965,0.7916670139184643,True,60,0.15
14.56974458694458,subject01,trial01,heart_1.00x,76,75.82102437433703,0.7913372378586336,1.0,75.82102437433703,0.7913372378586336,True,60,0.15
15.531805753707886,subject01,trial01,heart_1.00x,76,75.84787071818648,0.7910571441475344,1.0,75.84787071818648,0.7910571441475344,True,60,0.15
16.851628303527832,subject01,trial01,heart_1.00x,75,75.7206901104585,0.7923858051541032,1.0,75.7206901104585,0.7923858051541032,True,60,0.15
